Indicator,Type,Source
yrhsywu2009.zapto.org,Domain,https://thehackernews.com/2023/04/chinese-hackers-using-pingpull-linux.html
7.3.0.0,IPv4,https://www.bleepingcomputer.com/news/security/mitel-warns-of-critical-mivoice-mx-one-authentication-bypass-flaw/
7.8.1.0,IPv4,https://www.bleepingcomputer.com/news/security/mitel-warns-of-critical-mivoice-mx-one-authentication-bypass-flaw/
toksearches.xyz,Domain,https://www.bleepingcomputer.com/news/security/mitel-warns-of-critical-mivoice-mx-one-authentication-bypass-flaw/
theonlinesearch.com,Domain,https://www.bleepingcomputer.com/news/security/mitel-warns-of-critical-mivoice-mx-one-authentication-bypass-flaw/
smartwebfinder.com,Domain,https://www.bleepingcomputer.com/news/security/mitel-warns-of-critical-mivoice-mx-one-authentication-bypass-flaw/
CVE-2024-55550,CVE,https://www.bleepingcomputer.com/news/security/mitel-warns-of-critical-mivoice-mx-one-authentication-bypass-flaw/
CVE-2025-52914,CVE,https://www.bleepingcomputer.com/news/security/mitel-warns-of-critical-mivoice-mx-one-authentication-bypass-flaw/
CVE-2024-41713,CVE,https://www.bleepingcomputer.com/news/security/mitel-warns-of-critical-mivoice-mx-one-authentication-bypass-flaw/
com.earth,Domain,https://thehackernews.com/2025/07/iran-linked-dchspy-android-malware.html
185.202.0.111,IPv4,https://www.bleepingcomputer.com/news/security/researchers-link-3am-ransomware-to-conti-royal-cybercrime-gangs/
theonlinesearch.com,Domain,https://www.bleepingcomputer.com/news/security/researchers-link-3am-ransomware-to-conti-royal-cybercrime-gangs/
toksearches.xyz,Domain,https://www.bleepingcomputer.com/news/security/researchers-link-3am-ransomware-to-conti-royal-cybercrime-gangs/
smartwebfinder.com,Domain,https://www.bleepingcomputer.com/news/security/researchers-link-3am-ransomware-to-conti-royal-cybercrime-gangs/
185.225.17.104,IPv4,https://thehackernews.com/2025/07/cyber-espionage-campaign-hits-russian.html
a69649f9f5a7f81ac303ea77d748c77a,MD5,https://thehackernews.com/2014/01/cryptography-hacks-hash-encryption.html
cmd.exe,Filename,https://thehackernews.com/2025/07/china-linked-hackers-launch-targeted.html
agentx.exe,Filename,https://thehackernews.com/2025/07/china-linked-hackers-launch-targeted.html
mshta.exe,Filename,https://thehackernews.com/2025/07/china-linked-hackers-launch-targeted.html
agents.exe,Filename,https://thehackernews.com/2025/07/china-linked-hackers-launch-targeted.html
github.githubassets.net,Domain,https://thehackernews.com/2025/07/china-linked-hackers-launch-targeted.html
47.55.114.180,IPv4,https://www.darkreading.com/cybersecurity-operations/future-proof-your-cybersecurity-ai-strategy
darkreading.com,Domain,https://www.darkreading.com/cybersecurity-operations/future-proof-your-cybersecurity-ai-strategy
waset.org,Domain,https://thehackernews.com/2025/07/patchwork-targets-turkish-defense-firms.html
expouav.org,Domain,https://thehackernews.com/2025/07/patchwork-targets-turkish-defense-firms.html
Actualiza_Policy_v01.zip,Filename,https://thehackernews.com/2025/07/credential-theft-and-remote-access.html
csc.exe,Filename,https://thehackernews.com/2025/07/credential-theft-and-remote-access.html
manzisuape.com,Domain,https://thehackernews.com/2025/07/credential-theft-and-remote-access.html
support@npmjs.org,Email,https://thehackernews.com/2025/07/malware-injected-into-6-npm-packages.html
npnjs.com,Domain,https://thehackernews.com/2025/07/malware-injected-into-6-npm-packages.html
pmjs.org,Domain,https://thehackernews.com/2025/07/malware-injected-into-6-npm-packages.html
npmjs.com,Domain,https://thehackernews.com/2025/07/malware-injected-into-6-npm-packages.html
FRST64.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
Widgets.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
Notepad.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
clinfo.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdhip64_6.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
MicrosoftEdgeUpdate.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
msedgewebview2.exe,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
hiprt0200064.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amdsacli64.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
atiadlxx.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
GameManager32.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
atiadlxy.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
amfrt32.dll,Filename,https://www.bleepingcomputer.com/forums/t/806328/please-help-extremely-persistent-malware/
